Date,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Ech. physiques (MW),Stockage batterie
2013-01-01,11,399392.0,32478.0,0.0,340.0,100.0,0.0,6333.0,360051.0,0.0
2013-01-01,24,103218.0,4236.0,438965.0,12262.0,357.0,1596.0,1150.0,-355429.0,0.0
2013-01-01,27,110467.0,10996.0,0.0,3737.0,57.0,5493.0,596.0,89409.0,0.0
2013-01-01,28,155860.0,20427.0,384145.0,6648.0,179.0,693.0,2523.0,-258889.0,0.0
2013-01-01,32,253829.0,38592.0,211166.0,25444.0,308.0,46.0,3130.0,-25001.0,0.0
2013-01-01,44,219318.0,15068.0,423162.0,41112.0,268.0,60818.0,2619.0,-316537.0,0.0
2013-01-01,52,137017.0,5696.0,0.0,4467.0,881.0,40.0,1421.0,124406.0,0.0
2013-01-01,53,121979.0,2778.0,0.0,6352.0,418.0,4536.0,895.0,107259.0,0.0
2013-01-01,75,233140.0,11514.0,223931.0,3306.0,1514.0,17871.0,6603.0,-31869.0,0.0
2013-01-01,76,214645.0,3591.0,97786.0,11858.0,909.0,38565.0,3632.0,80759.0,0.0
2013-01-01,84,355359.0,11821.0,544120.0,5588.0,236.0,128964.0,3051.0,-303119.0,0.0
2013-01-01,93,252371.0,15175.0,0.0,372.0,405.0,61254.0,1808.0,173268.0,0.0
2013-01-02,11,492157.0,33589.0,0.0,83.0,121.0,0.0,6016.0,452266.0,0.0
2013-01-02,24,129493.0,4350.0,494239.0,4151.0,442.0,1647.0,1127.0,-376544.0,0.0
2013-01-02,27,132435.0,11310.0,0.0,162.0,202.0,6602.0,617.0,113369.0,0.0
2013-01-02,28,191275.0,20931.0,474386.0,4206.0,98.0,745.0,2596.0,-311836.0,0.0
2013-01-02,32,308583.0,38322.0,214169.0,12594.0,156.0,48.0,3172.0,39974.0,0.0
2013-01-02,44,268413.0,41107.0,459835.0,8047.0,1063.0,61739.0,2572.0,-299756.0,0.0
2013-01-02,52,182723.0,25227.0,0.0,2246.0,770.0,63.0,1597.0,152722.0,0.0
2013-01-02,53,153379.0,3122.0,0.0,3309.0,189.0,4279.0,882.0,141837.0,0.0
2013-01-02,75,289061.0,12279.0,304056.0,1030.0,2975.0,32109.0,6472.0,-70095.0,0.0
2013-01-02,76,250375.0,3902.0,113902.0,23940.0,2830.0,57132.0,3659.0,54551.0,0.0
2013-01-02,84,417636.0,12666.0,616650.0,6778.0,1112.0,186499.0,3226.0,-390798.0,0.0
2013-01-02,93,280064.0,18369.0,0.0,1404.0,2655.0,70681.0,1717.0,185143.0,0.0
2013-01-03,11,487111.0,42885.0,0.0,120.0,16.0,0.0,6136.0,437869.0,0.0
2013-01-03,24,128514.0,4354.0,448830.0,4956.0,42.0,1674.0,1121.0,-332545.0,0.0
2013-01-03,27,144898.0,11402.0,0.0,623.0,85.0,7770.0,641.0,124191.0,0.0
2013-01-03,28,190227.0,20395.0,474904.0,7015.0,24.0,762.0,2625.0,-315632.0,0.0
2013-01-03,32,319908.0,38104.0,214677.0,22847.0,64.0,48.0,3208.0,40783.0,0.0
2013-01-03,44,292146.0,64005.0,466284.0,21086.0,248.0,62012.0,2732.0,-317243.0,0.0
2013-01-03,52,181312.0,45880.0,0.0,1329.0,161.0,79.0,1691.0,132069.0,0.0
2013-01-03,53,151563.0,3093.0,0.0,2041.0,83.0,4170.0,919.0,141556.0,0.0
2013-01-03,75,299009.0,12392.0,320851.0,953.0,1543.0,33030.0,6525.0,-76506.0,0.0
2013-01-03,76,268930.0,4230.0,122265.0,11820.0,3397.0,62491.0,3529.0,69860.0,0.0
2013-01-03,84,449620.0,13831.0,605077.0,3811.0,1468.0,194593.0,3382.0,-354669.0,0.0
2013-01-03,93,285526.0,24755.0,0.0,626.0,2984.0,72282.0,2357.0,182412.0,0.0
